½Ã°£,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 17:39:28.748,0,0,0,2,0,0,0,2,-1020,1076,-12111,4275,-6088,-1143,0,0,0,2,0,0,0,2,-321,864,-8099,-760,84,99
'2017-07-31 17:39:28.758,0,0,0,2,0,0,0,2,-1356,1592,-10913,4079,-3385,-955,0,0,0,2,0,0,0,2,-364,852,-8084,-760,84,99
'2017-07-31 17:39:28.768,0,0,0,2,0,0,0,2,-1219,1233,-10096,3537,-1825,48,0,0,0,2,0,0,0,2,-321,847,-8112,-760,84,99
'2017-07-31 17:39:28.778,0,0,0,2,0,0,0,2,219,785,-9370,2556,-1239,1234,0,0,0,2,0,0,0,2,-324,833,-8127,-760,84,99
'2017-07-31 17:39:28.788,0,0,0,2,0,0,0,2,1871,9,-8161,1834,-1062,1166,0,0,0,2,0,0,0,2,-363,852,-8134,-760,84,99
'2017-07-31 17:39:28.798,0,0,0,2,0,0,0,2,2284,93,-6881,1345,-2071,513,0,0,0,2,0,0,0,2,-274,849,-8001,66,54,39
'2017-07-31 17:39:28.808,0,0,0,2,0,0,0,2,680,1117,-7028,1039,-3392,436,0,0,0,2,0,0,0,2,-225,788,-7991,132,21,28
'2017-07-31 17:39:28.818,0,0,0,2,0,0,0,2,-407,1593,-8098,1346,-3945,1035,0,0,0,2,0,0,0,2,-221,711,-8009,34,-60,21
'2017-07-31 17:39:28.828,0,0,0,2,0,0,1,2,-376,977,-9396,2435,-4111,977,0,0,0,2,0,0,0,2,-312,765,-8063,-142,-107,-14
'2017-07-31 17:39:28.838,0,0,0,2,0,0,1,2,-448,575,-9687,3056,-3620,475,0,0,0,2,0,0,0,2,-319,768,-8076,-294,-86,-20
'2017-07-31 17:39:28.848,0,0,0,2,0,0,1,2,514,251,-9664,2997,-3493,388,0,0,0,2,0,0,0,2,-309,767,-8066,-369,-68,-27
'2017-07-31 17:39:28.858,0,0,0,2,0,0,1,2,93,1274,-9260,3176,-3270,106,0,0,0,2,0,0,0,2,-246,721,-8055,-497,-54,-56
'2017-07-31 17:39:28.868,0,0,0,2,0,0,1,2,-680,140,-9209,3351,-2594,-332,0,0,0,2,0,0,0,2,-348,849,-8113,-543,-30,-76
'2017-07-31 17:39:28.878,0,0,0,2,0,0,1,2,-447,672,-8659,2882,-1892,-223,0,0,0,2,0,0,0,2,-298,894,-8074,-535,-1,-83
'2017-07-31 17:39:28.888,1,1,0,2,1,0,0,2,-174,107,-8737,2558,-1534,-456,0,0,0,2,0,0,0,2,-303,893,-8053,-506,10,-98
'2017-07-31 17:39:28.898,1,1,0,2,1,0,0,2,-266,-52,-8848,1979,-1312,-430,0,0,0,2,0,0,0,2,-309,845,-8091,-509,28,-118
'2017-07-31 17:39:28.908,1,1,0,2,1,0,0,2,-294,-158,-8993,1112,-1246,-345,0,0,0,2,0,0,0,2,-322,925,-8104,-520,53,-136
'2017-07-31 17:39:28.918,2,2,0,2,1,0,0,2,-309,-48,-8929,391,-1139,-210,0,0,0,2,0,0,1,2,-326,944,-8088,-485,73,-135
'2017-07-31 17:39:28.928,2,2,0,1,1,0,0,1,-352,385,-8845,-32,-1071,-145,0,0,0,2,0,0,1,2,-328,977,-7983,-419,97,-147
'2017-07-31 17:39:28.938,2,2,0,1,1,0,0,1,-343,717,-8660,14,-922,-172,0,0,0,2,0,0,1,2,-276,912,-7945,-341,146,-174
'2017-07-31 17:39:28.948,2,2,0,1,1,0,0,1,-413,641,-8621,379,-784,-215,0,0,0,2,0,0,1,2,-244,869,-7993,-362,129,-208
