__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:33:01.470,2,2,1,0,2,0,0,0,-1264,-233,-11752,450,-12129,-1998,2,2,2,2,1,1,1,1,60,913,-8557,2576,3196,2616
'2017-08-02 15:33:01.480,2,2,1,0,2,0,0,0,-1290,397,-12291,499,-13904,-1888,2,2,2,2,1,1,1,1,68,831,-8515,2576,3196,2616
'2017-08-02 15:33:01.490,2,2,2,0,2,0,0,0,-1117,1115,-12509,1138,-15564,-2027,2,2,2,2,1,1,1,1,27,606,-8415,2576,3196,2616
'2017-08-02 15:33:01.500,2,2,2,0,2,0,0,0,-1230,1421,-12196,1488,-16895,-2425,2,2,2,2,1,1,1,2,53,546,-8351,2576,3196,2616
'2017-08-02 15:33:01.510,2,2,2,0,2,0,0,0,-1006,1022,-13016,1989,-17849,-2963,2,2,2,2,1,1,1,2,16,627,-8301,2576,3196,2616
'2017-08-02 15:33:01.520,2,2,2,0,2,1,0,0,-1033,1425,-14580,2812,-19767,-3390,2,2,2,2,1,1,1,2,29,645,-8289,-87,-890,-174
'2017-08-02 15:33:01.530,2,2,2,0,2,1,0,0,-869,887,-15697,2831,-22503,-3664,2,2,2,2,1,1,1,2,0,577,-8353,-164,-1007,-182
'2017-08-02 15:33:01.540,2,2,2,0,2,1,0,0,-988,2752,-19397,2689,-25162,-4008,2,2,2,2,1,1,1,2,3,716,-8394,-241,-1097,-183
'2017-08-02 15:33:01.550,2,2,2,0,2,1,0,0,-2598,4225,-23288,1221,-28728,-4701,2,2,2,2,1,1,1,2,-23,719,-8277,-226,-1200,-173
'2017-08-02 15:33:01.560,2,2,2,0,2,1,0,0,-5936,6344,-29731,-2,-32634,-5522,2,2,2,2,1,1,1,2,-280,660,-8268,-223,-1104,-143
'2017-08-02 15:33:01.570,2,2,2,0,2,1,0,0,-5823,10314,-32591,-1882,-32745,-7211,2,2,2,2,1,1,2,2,-366,702,-8536,-61,-726,-151
'2017-08-02 15:33:01.580,2,2,2,0,2,0,0,0,-4338,16380,-32768,-5187,-32768,-9696,2,2,2,2,1,1,2,2,-204,541,-8626,-48,-400,-130
'2017-08-02 15:33:01.590,2,2,1,0,1,0,0,0,-2663,12144,-32768,-7215,-32768,-13338,2,2,2,2,1,1,2,2,-652,769,-8865,-25,264,-113
'2017-08-02 15:33:01.600,2,2,1,0,1,0,0,0,4130,11296,-32768,-7602,-32768,-16349,2,2,2,2,1,1,2,2,-313,913,-9085,167,774,-47
'2017-08-02 15:33:01.610,2,1,0,0,0,0,0,0,16425,13358,-32032,1987,-32768,-18573,2,2,2,2,1,1,2,2,-221,848,-8841,355,1020,46
'2017-08-02 15:33:01.620,1,1,0,0,0,0,0,0,22543,9037,-13356,7079,-31336,-18847,2,2,2,2,1,1,2,2,14,607,-8684,378,1025,108
'2017-08-02 15:33:01.630,1,1,0,0,0,0,0,0,7472,860,-5371,12416,-28193,-2897,2,2,2,2,1,1,2,2,-149,608,-8642,344,1023,102
'2017-08-02 15:33:01.640,1,1,0,0,0,0,0,0,22329,8619,-19600,6447,-3466,16548,2,2,2,2,1,1,2,2,-98,672,-8583,292,1023,116
'2017-08-02 15:33:01.650,0,1,0,0,0,0,0,0,18402,2577,-19904,13928,12412,26919,2,2,2,2,1,1,2,2,-33,536,-8667,236,1080,137
'2017-08-02 15:33:01.660,0,0,0,0,0,0,0,0,10764,6662,-24100,21381,19499,28304,2,2,2,2,1,1,2,2,-132,621,-8773,117,1257,158
'2017-08-02 15:33:01.670,0,0,0,0,0,0,0,0,11306,11539,-19247,20886,22363,24337,2,2,2,2,1,1,2,2,-52,752,-8705,88,1409,209
'2017-08-02 15:33:01.680,0,0,0,0,0,0,0,0,9768,14633,-13701,12846,24030,17248,2,2,2,2,1,2,2,1,-92,790,-8742,205,1606,275
'2017-08-02 15:33:01.690,0,0,0,0,0,0,0,0,8931,11946,-11151,1919,25834,9784,2,2,2,2,1,2,2,1,97,740,-8663,364,1712,320
'2017-08-02 15:33:01.700,0,0,0,0,0,0,0,0,8377,6241,-10173,-7990,27725,4097,2,2,2,1,2,2,2,1,192,565,-8556,429,1728,339
'2017-08-02 15:33:01.710,0,0,0,0,0,0,0,0,6597,-409,-10549,-11758,29326,1168,2,2,2,1,2,2,2,1,106,674,-8522,403,1760,336
'2017-08-02 15:33:01.720,0,0,0,0,0,0,0,0,4284,-5527,-10353,-8743,29860,790,2,2,2,1,2,2,2,1,316,555,-8436,365,1728,311
'2017-08-02 15:33:01.730,0,0,0,0,0,0,0,0,3637,-6777,-8443,-1085,29291,1630,2,2,2,1,2,2,2,0,330,604,-8408,212,1690,307
'2017-08-02 15:33:01.740,0,0,0,0,0,0,0,0,3392,-4459,-8552,6313,27943,2382,2,2,2,0,2,2,2,0,431,485,-8324,-47,1549,293
'2017-08-02 15:33:01.750,0,0,0,0,0,0,0,0,2682,-839,-9305,10182,26479,2372,2,2,2,0,2,2,2,0,443,482,-8310,-230,1413,259
'2017-08-02 15:33:01.760,0,0,0,0,0,0,0,0,2596,2897,-9517,9380,25648,1497,2,2,2,0,2,2,2,0,404,655,-8311,-393,1312,243
'2017-08-02 15:33:01.770,0,0,0,0,0,0,0,0,2939,4905,-9844,5309,25457,75,2,2,2,0,2,2,2,0,493,567,-8241,-423,1197,230
'2017-08-02 15:33:01.780,0,0,0,0,0,0,0,0,3015,5154,-10057,345,25640,-1417,2,2,2,0,2,2,2,0,594,487,-8241,-521,1070,242
'2017-08-02 15:33:01.790,0,0,0,0,0,0,0,0,2812,3953,-11035,-3280,25797,-2354,2,2,2,0,2,2,1,0,587,703,-8222,-562,888,181
'2017-08-02 15:33:01.800,0,0,0,0,0,0,0,0,2574,3398,-12134,-5276,25756,-2443,2,2,2,0,2,2,1,0,673,555,-8083,-598,707,157
'2017-08-02 15:33:01.810,0,0,0,0,0,0,0,0,2113,4084,-14223,-6668,25540,-1075,2,2,2,0,2,2,1,0,678,790,-8059,-550,463,145
'2017-08-02 15:33:01.820,0,0,0,0,0,0,0,0,1953,4504,-15322,-8143,25512,68,2,2,2,0,2,2,1,0,547,1033,-8009,-212,225,145
'2017-08-02 15:33:01.830,0,0,0,0,0,0,0,0,1325,5773,-19131,-9444,25728,1304,2,2,2,0,2,2,1,0,682,705,-8003,80,-50,170
'2017-08-02 15:33:01.840,0,0,0,0,0,0,0,0,-15,6028,-21401,-9406,25884,2853,2,2,2,0,2,2,1,0,591,808,-7865,227,-390,193
'2017-08-02 15:33:01.850,0,0,0,0,0,0,0,0,-5376,7495,-23636,-9224,25889,4499,2,2,2,0,2,2,1,0,639,754,-8076,396,-630,194
'2017-08-02 15:33:01.860,0,0,0,0,0,0,0,0,-8839,8777,-27450,-11034,25797,5086,2,2,2,0,2,2,2,0,639,760,-8104,544,-880,190
'2017-08-02 15:33:01.870,0,0,0,0,0,0,0,0,-15127,8492,-29423,-14434,25330,5143,2,2,2,0,2,2,2,0,705,680,-8154,652,-1162,217
'2017-08-02 15:33:01.880,0,0,0,0,0,0,0,0,-21703,5165,-30429,-16911,24440,5443,2,2,2,0,2,2,2,0,672,71,-8452,654,-1348,192
'2017-08-02 15:33:01.890,0,0,0,0,0,0,0,0,-29031,-326,-28496,-17274,22989,5899,2,2,2,0,2,2,2,0,136,437,-8542,457,-1306,12
