시간,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,센서1,센서2,센서3,센서4,센서5,센서6,센서7,센서8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-03 16:25:02.978,0,0,0,2,0,0,1,2,765,1079,-7352,-37,-274,491,1,0,2,1,0,0,1,1,-915,877,-8417,532,8967,750
'2017-08-03 16:25:02.988,0,0,0,2,0,0,1,2,303,57,-8941,881,508,75,1,0,2,1,0,0,1,1,-924,885,-8403,532,8967,750
'2017-08-03 16:25:02.998,0,0,0,2,0,0,1,2,1424,-131,-9373,133,461,194,1,0,2,1,0,0,1,1,-923,885,-8406,532,8967,750
'2017-08-03 16:25:03.008,0,0,0,2,0,0,1,2,1169,-5,-9527,-751,-254,-13,1,0,2,1,0,0,1,1,-893,872,-8371,532,8967,750
'2017-08-03 16:25:03.018,0,0,0,2,0,0,1,2,959,450,-9160,-1208,-728,-89,1,0,2,1,0,0,1,1,-854,874,-8358,532,8967,750
'2017-08-03 16:25:03.028,0,0,0,2,0,0,1,2,1028,569,-8667,-1079,-960,-144,1,0,2,1,0,0,1,1,-842,829,-8302,52,115,78
'2017-08-03 16:25:03.038,0,0,0,2,0,0,1,2,930,431,-8615,-797,-1236,-202,1,0,2,1,0,0,1,1,-927,874,-8358,5,94,47
'2017-08-03 16:25:03.048,0,0,0,2,0,0,1,2,943,380,-8715,-675,-1504,-84,1,0,2,1,0,0,1,1,-864,888,-8416,8,121,82
'2017-08-03 16:25:03.058,0,0,0,2,0,0,1,2,991,298,-8871,-725,-1849,-17,1,0,2,1,0,0,1,1,-863,886,-8374,8,146,90
'2017-08-03 16:25:03.068,0,0,0,2,0,0,1,2,912,481,-8942,-907,-2205,13,2,0,2,1,0,0,1,1,-897,909,-8447,50,176,99
'2017-08-03 16:25:03.078,0,0,0,2,0,0,1,2,816,733,-8799,-798,-2475,-31,2,0,2,1,0,0,1,1,-864,905,-8422,105,239,114
'2017-08-03 16:25:03.088,0,0,0,2,0,0,1,2,672,554,-8567,-506,-2619,-69,2,0,2,1,0,0,1,1,-843,838,-8417,133,243,116
'2017-08-03 16:25:03.098,0,0,1,2,0,0,1,1,607,401,-8477,-343,-2583,-8,2,1,2,1,0,0,1,1,-808,827,-8382,100,229,93
'2017-08-03 16:25:03.108,0,0,1,1,0,0,1,1,608,451,-8623,-294,-2532,54,2,1,2,1,0,0,1,1,-832,840,-8400,75,215,85
'2017-08-03 16:25:03.118,1,0,1,1,0,1,1,1,514,448,-8565,-305,-2551,43,2,1,2,1,0,1,1,1,-820,834,-8343,29,148,55
'2017-08-03 16:25:03.128,1,0,1,1,0,1,1,0,586,381,-8662,-355,-2598,4,2,1,2,1,0,1,1,1,-842,848,-8381,-17,97,34
'2017-08-03 16:25:03.138,1,0,1,1,0,1,1,0,598,402,-8785,-596,-2817,-70,2,1,2,1,0,1,1,1,-826,887,-8396,-34,66,35
'2017-08-03 16:25:03.148,1,0,1,0,0,1,1,0,433,397,-8922,-700,-3262,58,2,1,2,1,0,1,1,1,-820,883,-8383,-34,49,41
'2017-08-03 16:25:03.158,1,0,2,0,0,1,1,0,256,481,-8746,-933,-3860,8,2,1,2,1,0,1,1,1,-832,849,-8428,-24,50,38
'2017-08-03 16:25:03.168,1,1,2,0,1,1,1,0,108,352,-9048,-721,-4789,114,2,1,2,1,0,1,1,1,-869,928,-8450,19,90,43
'2017-08-03 16:25:03.178,1,1,2,0,1,1,1,0,636,294,-10149,-906,-5198,-50,2,1,2,1,0,1,2,1,-833,913,-8512,80,173,61
'2017-08-03 16:25:03.188,1,1,2,0,1,1,1,0,440,934,-9802,-560,-5181,62,2,2,2,1,0,1,2,1,-826,885,-8485,143,261,106
'2017-08-03 16:25:03.198,1,2,2,0,1,1,1,0,-23,909,-9138,-748,-5578,-262,2,2,2,1,0,1,2,1,-829,872,-8464,176,325,105
